"X","participant_id","option_chosen","problem_number","running_number","trial_number","cond","a.b.f","b.b.f","a.se.f","b.se.f","a_be","pa_be","a_se","pa_se","b_be","pb_be","b_se","pb_se","de_gap_rule"
1,"1",1,2,1,32,"desc",NA,NA,NA,NA,5,0.88,6,0.114,5,0.733,6,0.178,0.4
2,"1",0,3,2,15,"desc",NA,NA,NA,NA,5,0.68,5,0.251,5,0.614,7,0.051,0.4
3,"1",1,5,3,38,"desc",NA,NA,NA,NA,6,0.905,7,0.074,6,0.709,5,0.205,0.4
4,"1",0,8,4,59,"desc",NA,NA,NA,NA,5,0.545,3,0.067,5,0.694,3,0.026,0.4
5,"1",0,10,5,57,"desc",NA,NA,NA,NA,6,0.921,5,0.226,6,0.73,6,0.089,0.4
6,"1",1,11,6,9,"desc",NA,NA,NA,NA,3,0.644,5,0.02,3,0.914,4,0.14,0.4
7,"1",0,12,7,37,"desc",NA,NA,NA,NA,5,0.688,6,0.122,5,0.706,3,0.024,0.4
8,"1",0,13,8,5,"desc",NA,NA,NA,NA,8,0.635,6,0.157,8,0.611,5,0.092,0.4
9,"1",0,14,9,34,"desc",NA,NA,NA,NA,5,0.511,6,0.049,5,0.778,7,0.054,0.4
10,"1",1,15,10,23,"desc",NA,NA,NA,NA,5,0.675,5,0.105,5,0.775,6,0.176,0.4
11,"1",1,16,11,2,"desc",NA,NA,NA,NA,5,0.836,3,0.014,5,0.703,5,0.185,0.4
12,"1",1,17,12,26,"desc",NA,NA,NA,NA,3,0.922,3,0.062,3,0.563,5,0.056,0.4
13,"1",0,18,13,31,"desc",NA,NA,NA,NA,6,0.584,3,0.015,6,0.658,7,0.027,0.4
14,"1",1,19,14,58,"desc",NA,NA,NA,NA,6,0.804,6,0.064,6,0.889,4,0.163,0.4
15,"1",0,22,15,24,"desc",NA,NA,NA,NA,8,0.642,5,0.213,8,0.902,7,0.042,0.4
16,"1",1,23,16,47,"desc",NA,NA,NA,NA,6,0.828,6,0.033,6,0.81,6,0.104,0.4
17,"1",0,26,17,8,"desc",NA,NA,NA,NA,5,0.645,6,0.215,5,0.8,5,0.188,0.4
18,"1",0,27,18,12,"desc",NA,NA,NA,NA,6,0.517,5,0.085,6,0.835,3,0.072,0.4
19,"1",1,28,19,27,"desc",NA,NA,NA,NA,5,0.9,3,0.012,5,0.786,4,0.181,0.4
20,"1",1,29,20,60,"desc",NA,NA,NA,NA,6,0.676,6,0.058,6,0.571,5,0.218,0.4
21,"1",1,31,21,11,"desc",NA,NA,NA,NA,6,0.769,6,0.091,6,0.681,5,0.219,0.4
22,"1",0,32,22,13,"desc",NA,NA,NA,NA,6,0.86,6,0.132,6,0.782,3,0.014,0.4
23,"1",0,34,23,30,"desc",NA,NA,NA,NA,6,0.596,5,0.145,6,0.944,5,0.135,0.4
24,"1",1,35,24,55,"desc",NA,NA,NA,NA,5,0.575,3,0.014,5,0.724,6,0.183,0.4
25,"1",1,36,25,28,"desc",NA,NA,NA,NA,5,0.791,3,0.019,5,0.631,3,0.019,0.4
26,"1",0,39,26,43,"desc",NA,NA,NA,NA,6,0.752,4,0.146,6,0.624,7,0.037,0.4
27,"1",0,42,27,51,"desc",NA,NA,NA,NA,8,0.561,6,0.199,8,0.824,6,0.151,0.4
28,"1",1,43,28,3,"desc",NA,NA,NA,NA,5,0.767,5,0.03,5,0.871,5,0.117,0.4
29,"1",1,44,29,54,"desc",NA,NA,NA,NA,5,0.766,6,0.083,5,0.635,4,0.136,0.4
30,"1",0,45,30,21,"desc",NA,NA,NA,NA,6,0.609,5,0.164,6,0.691,6,0.081,0.4
31,"1",1,48,31,50,"desc",NA,NA,NA,NA,5,0.754,7,0.088,5,0.833,6,0.235,0.4
32,"1",1,53,32,19,"desc",NA,NA,NA,NA,6,0.713,3,0.01,6,0.763,3,0.041,0.4
33,"1",0,54,33,49,"desc",NA,NA,NA,NA,5,0.659,5,0.227,5,0.594,5,0.134,0.4
34,"1",1,56,34,40,"desc",NA,NA,NA,NA,4,0.77,3,0.016,4,0.62,5,0.091,0.4
35,"1",0,57,35,56,"desc",NA,NA,NA,NA,5,0.645,6,0.137,5,0.677,5,0.017,0.4
36,"1",0,59,36,18,"desc",NA,NA,NA,NA,5,0.569,6,0.16,5,0.795,3,0.071,0.4
37,"1",1,60,37,52,"desc",NA,NA,NA,NA,5,0.566,5,0.06,5,0.766,6,0.192,0.4
38,"1",1,61,38,45,"desc",NA,NA,NA,NA,5,0.86,7,0.104,5,0.659,4,0.138,0.4
39,"1",0,65,39,41,"desc",NA,NA,NA,NA,6,0.571,5,0.261,6,0.514,3,0.014,0.4
40,"1",1,67,40,44,"desc",NA,NA,NA,NA,5,0.711,5,0.145,5,0.536,5,0.139,0.4
41,"1",0,68,41,4,"desc",NA,NA,NA,NA,5,0.845,5,0.162,5,0.869,5,0.068,0.4
42,"1",1,70,42,39,"desc",NA,NA,NA,NA,4,0.556,3,0.029,4,0.715,5,0.105,0.4
43,"1",1,71,43,1,"desc",NA,NA,NA,NA,6,0.606,5,0.036,6,0.577,4,0.105,0.4
44,"1",0,73,44,22,"desc",NA,NA,NA,NA,6,0.703,6,0.162,6,0.756,6,0.103,0.4
45,"1",1,74,45,25,"desc",NA,NA,NA,NA,5,0.693,5,0.031,5,0.708,6,0.18,0.4
46,"1",0,76,46,36,"desc",NA,NA,NA,NA,5,0.794,6,0.2,5,0.837,3,0.018,0.4
47,"1",1,77,47,10,"desc",NA,NA,NA,NA,6,0.741,3,0.02,6,0.571,5,0.198,0.4
48,"1",0,79,48,33,"desc",NA,NA,NA,NA,4,0.733,4,0.167,4,0.799,3,0.038,0.4
49,"1",1,80,49,16,"desc",NA,NA,NA,NA,3,0.812,5,0.037,3,0.817,6,0.199,0.4
50,"1",0,81,50,48,"desc",NA,NA,NA,NA,5,0.626,5,0.205,5,0.571,7,0.027,0.4
51,"1",1,83,51,20,"desc",NA,NA,NA,NA,5,0.742,3,0.052,5,0.688,6,0.112,0.4
52,"1",0,84,52,53,"desc",NA,NA,NA,NA,5,0.595,6,0.187,5,0.669,5,0.065,0.4
